Дисциплина;День недели;группа;Время;Корпус;Аудитория
Немецкий язык;Понедельник;нем1;09:30-10:50;Сормовское ш., 30;206
Немецкий язык;Понедельник;нем1;11:10-12:30;Сормовское ш., 30;206
Немецкий язык;Понедельник;нем2;13:00-14:20;Сормовское ш., 30;206
Французский язык;Понедельник;фр;13:00-14:20;ул. Львовская, 1В;308
Немецкий язык;Понедельник;нем2;14:40-16:00;Сормовское ш., 30;206
Французский язык;Понедельник;фр;14:40-16:00;ул. Львовская, 1В;308
Психолингвистика (лекция);Вторник;21ФПЛ1, 21ФПЛ2;08:00-09:20;ул. Костина 2Б;102
Психолингвистика (семинар);Вторник;21ФПЛ1;09:30-10:50;ул. Костина 2Б;302
Теория языка (семинар);Вторник;21ФПЛ2;09:30-10:50;ул. Костина 2Б;307
Теория языка (семинар);Вторник;21ФПЛ1;11:10-12:30;ул. Костина 2Б;302
Психолингвистика (семинар);Вторник;21ФПЛ2;11:10-12:30;ул. Костина 2Б;307
Теория языка (семинар) ВЕРХНЯЯ НЕДЕЛЯ;Вторник;21ФПЛ1;13:00-14:20;ул. Костина 2Б;302
Теория языка (семинар) НИЖНЯЯ НЕДЕЛЯ;Вторник;21ФПЛ2;13:00-14:20;ул. Костина 2Б;302
Немецкий язык;Среда;нем3;11:10-12:30;Сормовское ш., 30;202
Немецкий язык;Среда;нем3;13:00-14:20;Сормовское ш., 30;202
MINOR;Четверг;21ФПЛ1, 21ФПЛ2;08:00-19:30;online;online
Функциональная стилистика;Пятница;стилистика;09:30-10:50;ул. Костина 2Б;210
Теория языка (лекция);Пятница;21ФПЛ1, 21ФПЛ2;11:10-12:30;ул. Костина 2Б;210
"НИС ""Анализ и синтез звучащей речи""";Пятница;анализ;13:00-14:20;ул. Костина 2Б;304
"НИС ""Тестирование и экспертиза в лингвистических исследованиях""";Пятница;тесты;13:00-14:20;ул. Костина 2Б;203
Технологии разработки баз данных;Пятница;бд;14:40-16:00;ул. Костина 2Б;203
Технологии разработки баз данных;Пятница;бд;16:20-17:40;ул. Костина 2Б;203
Практикум по разработке лингвистических систем;Суббота;21ФПЛ1;09:30-10:50;Сормовское ш., 30;107
Практикум по разработке лингвистических систем;Суббота;21ФПЛ1;11:10-12:30;Сормовское ш., 30;107
Практикум по разработке лингвистических систем;Суббота;21ФПЛ2;13:00-14:20;Сормовское ш., 30;107
Практикум по разработке лингвистических систем;Суббота;21ФПЛ2;14:40-16:00;Сормовское ш., 30;107
